time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0,0.039,0.0354,0.0366,0.0359,0.0364,0.0368,0.0413,0.0417,0.0334,0.0369,0.0373,0.0353,0.0393,0.0403,0.0361,0.0505,0.0406,0.0412,0.0399,0.04,0.0401,0.0406,0.0404,0.0403,0.0392,0.0384,0.0374,0.0398,0.0394,0.0394,0.0392,0.0396,0.0412,0.0403,0.0388,0.0393,0.0363,0.0372,0.0396,0.0398,0.0361,0.0352,0.0333,0.0331,0.0371,0.0426,0.0358,0.0431,0.0405,0.0415,0.042,0.0408,0.0402,0.0411,0.0416,0.0408,0.0425,0.0399,0.0399,0.0411,0.0371,0.0395,0.0388,0.0379,0.0374,0.0378,0.042,0.0389,0.0379,0.0383,0.0355,0.037,0.0403,0.0408,0.0419,0.0336,0.038,0.0392,0.0391,0.0345,0.0371,0.0384,0.0342,0.0404,0.0407,0.0401,0.0407,0.0394,0.0395,0.0404,0.0399,0.0398,0.0398,0.0395,0.0396,0.0405
0.08,0.0393,0.0441,0.0396,0.0395,0.0391,0.0385,0.0405,0.041,0.0361,0.0387,0.0385,0.0388,0.0396,0.0401,0.037,0.0385,0.0406,0.0414,0.0397,0.04,0.0401,0.0409,0.0405,0.0404,0.0391,0.0386,0.039,0.0401,0.0394,0.0393,0.0393,0.0398,0.0416,0.0406,0.039,0.0398,0.037,0.0378,0.0399,0.0402,0.0374,0.0358,0.0339,0.0339,0.038,0.0434,0.0362,0.044,0.0405,0.0416,0.0421,0.041,0.0402,0.0412,0.0417,0.0408,0.0427,0.0401,0.0403,0.0412,0.0376,0.0398,0.0386,0.0378,0.0375,0.0374,0.0417,0.0393,0.0378,0.0386,0.0347,0.0381,0.0401,0.0407,0.0417,0.0341,0.0383,0.0389,0.0385,0.0357,0.0377,0.0385,0.0348,0.0406,0.0408,0.04,0.0406,0.0395,0.0395,0.0406,0.04,0.04,0.0398,0.0399,0.0399,0.0407
0.17,0.0396,0.0393,0.0399,0.04,0.0398,0.0379,0.0404,0.0413,0.0365,0.0386,0.0388,0.0388,0.04,0.0401,0.0376,0.0406,0.0407,0.0411,0.0398,0.04,0.0401,0.0406,0.0402,0.0404,0.0389,0.0386,0.0395,0.0399,0.0392,0.0392,0.0393,0.0399,0.0418,0.0405,0.039,0.0396,0.0369,0.0389,0.04,0.0403,0.0385,0.0363,0.0345,0.0345,0.0383,0.0437,0.0366,0.0438,0.0405,0.0414,0.0416,0.0406,0.0402,0.0412,0.0416,0.0408,0.0426,0.0401,0.0404,0.0412,0.0379,0.0403,0.0387,0.0379,0.0377,0.0375,0.0415,0.0393,0.0378,0.0383,0.0356,0.0393,0.0402,0.0406,0.0416,0.0346,0.0387,0.0389,0.0384,0.0366,0.0381,0.0383,0.0352,0.0404,0.0406,0.04,0.0405,0.0395,0.0394,0.041,0.0399,0.0401,0.0397,0.0397,0.0399,0.0407
0.25,0.0399,0.0396,0.0403,0.0405,0.0403,0.0396,0.0405,0.0414,0.0366,0.0385,0.039,0.0399,0.0401,0.0401,0.0382,0.0421,0.0405,0.041,0.0397,0.04,0.0399,0.0406,0.0405,0.0403,0.0389,0.0384,0.0402,0.04,0.0394,0.0393,0.0391,0.04,0.0416,0.0406,0.0388,0.0396,0.0373,0.0389,0.04,0.0405,0.0389,0.0365,0.0344,0.035,0.0386,0.0437,0.0371,0.044,0.0404,0.0413,0.0418,0.0405,0.04,0.041,0.0414,0.0408,0.0424,0.0399,0.0403,0.0411,0.038,0.0403,0.0388,0.0378,0.0375,0.0373,0.0416,0.0394,0.0378,0.0386,0.0347,0.0393,0.04,0.0407,0.0413,0.0349,0.0376,0.0391,0.0385,0.0375,0.038,0.0384,0.0357,0.0403,0.0406,0.0398,0.0407,0.0393,0.0394,0.0403,0.0397,0.0399,0.0397,0.0397,0.0399,0.0406
0.33,0.0417,0.0465,0.0404,0.0409,0.0396,0.0401,0.0405,0.0413,0.037,0.0387,0.0393,0.0401,0.0403,0.0401,0.0388,0.0434,0.0405,0.0409,0.0395,0.0399,0.04,0.0404,0.0404,0.0403,0.0389,0.0386,0.0466,0.0399,0.0391,0.0392,0.0391,0.0399,0.0416,0.0412,0.0391,0.0397,0.0379,0.0391,0.04,0.0405,0.0393,0.0368,0.0346,0.0356,0.0388,0.0438,0.0376,0.0442,0.0404,0.0413,0.0419,0.0406,0.0402,0.041,0.0416,0.0407,0.0427,0.0399,0.0403,0.041,0.0386,0.0406,0.0387,0.0377,0.0374,0.0373,0.0415,0.0392,0.0377,0.0384,0.0357,0.0401,0.0398,0.0408,0.0413,0.0356,0.0377,0.0391,0.0384,0.0378,0.0383,0.0381,0.0364,0.0405,0.0406,0.04,0.0405,0.0394,0.0395,0.0407,0.0398,0.04,0.0396,0.0396,0.0397,0.0406
0.42,0.0397,0.0401,0.0408,0.0413,0.0398,0.0402,0.0404,0.0412,0.0372,0.0388,0.0395,0.0411,0.0405,0.04,0.0393,0.0437,0.0404,0.041,0.0396,0.0399,0.0399,0.0405,0.0403,0.0404,0.0391,0.0386,0.047,0.04,0.0392,0.0391,0.0393,0.0399,0.0417,0.0413,0.0392,0.0397,0.038,0.0393,0.0402,0.0404,0.0395,0.0369,0.035,0.0361,0.0392,0.0438,0.038,0.0443,0.0404,0.0412,0.0417,0.0406,0.0401,0.0411,0.0417,0.0407,0.0425,0.0401,0.0405,0.0412,0.0388,0.0405,0.0387,0.0378,0.0373,0.0371,0.0414,0.0393,0.0378,0.0384,0.0351,0.0405,0.0399,0.0404,0.0413,0.0361,0.0382,0.0391,0.0383,0.0386,0.0383,0.0381,0.0364,0.0403,0.0406,0.0399,0.0405,0.0394,0.0392,0.0403,0.0399,0.0398,0.0396,0.0397,0.0397,0.0408
0.5,0.0396,0.0438,0.0409,0.0414,0.04,0.0396,0.0404,0.0411,0.0373,0.0389,0.0398,0.0412,0.0406,0.04,0.0399,0.0458,0.0406,0.041,0.0397,0.0398,0.0399,0.0404,0.0404,0.0403,0.0391,0.0384,0.0474,0.0401,0.0394,0.0391,0.0392,0.0399,0.0414,0.0417,0.0391,0.0398,0.0379,0.0394,0.0401,0.0407,0.0399,0.0371,0.035,0.0365,0.0395,0.044,0.0386,0.0443,0.0404,0.0413,0.0417,0.0405,0.04,0.0412,0.0416,0.0406,0.0426,0.04,0.0404,0.0413,0.039,0.0406,0.0389,0.0379,0.0374,0.0371,0.0414,0.0393,0.0377,0.0384,0.036,0.041,0.0398,0.0405,0.0412,0.0366,0.0383,0.0391,0.0383,0.0392,0.0384,0.0382,0.0366,0.0403,0.0405,0.0402,0.0406,0.0394,0.0394,0.0403,0.0398,0.0401,0.0396,0.0396,0.0398,0.0407
0.58,0.0419,0.0425,0.0407,0.0432,0.0404,0.0391,0.0411,0.0414,0.0363,0.0385,0.0414,0.0442,0.041,0.04,0.0407,0.0494,0.0403,0.0407,0.0396,0.0397,0.0398,0.0405,0.0402,0.0403,0.0388,0.0384,0.0475,0.0399,0.0392,0.039,0.0393,0.04,0.0412,0.0415,0.0391,0.0397,0.0382,0.0392,0.0398,0.0401,0.0402,0.0374,0.035,0.037,0.0396,0.0438,0.039,0.0442,0.0402,0.0412,0.0417,0.0404,0.04,0.0409,0.0413,0.0405,0.0424,0.0399,0.0401,0.0412,0.0391,0.0408,0.0388,0.0373,0.0373,0.0372,0.0415,0.0394,0.0375,0.0384,0.0358,0.041,0.0399,0.0404,0.0409,0.0373,0.0385,0.039,0.0383,0.0393,0.0383,0.0381,0.0367,0.0401,0.0404,0.0399,0.0404,0.0393,0.0394,0.0402,0.0397,0.0399,0.0394,0.0394,0.0397,0.0405
0.67,0.0407,0.0401,0.0412,0.042,0.0409,0.041,0.0403,0.0408,0.0375,0.0388,0.0399,0.0436,0.0406,0.04,0.0406,0.0459,0.0405,0.0409,0.0394,0.0397,0.04,0.0403,0.0402,0.0402,0.0388,0.0384,0.0477,0.0398,0.0392,0.0391,0.0393,0.0401,0.041,0.0416,0.039,0.0397,0.0383,0.0395,0.0401,0.0405,0.0404,0.0372,0.0352,0.0374,0.0398,0.0438,0.0391,0.0441,0.0401,0.0412,0.0415,0.0404,0.0399,0.0408,0.0414,0.0405,0.0423,0.0399,0.0404,0.0411,0.0391,0.0408,0.0387,0.0375,0.0373,0.0372,0.0412,0.0392,0.0374,0.0383,0.0361,0.0414,0.0396,0.0403,0.0412,0.0377,0.0387,0.0391,0.0384,0.04,0.0382,0.0382,0.0369,0.0402,0.0404,0.0398,0.0404,0.0392,0.0393,0.0402,0.0398,0.0398,0.0396,0.0393,0.0397,0.0405
0.75,0.0403,0.0487,0.041,0.0421,0.0401,0.0388,0.0404,0.0409,0.0378,0.0389,0.04,0.0426,0.041,0.0399,0.0411,0.0463,0.0404,0.0408,0.0393,0.0397,0.0399,0.0403,0.0402,0.0401,0.0389,0.0384,0.0479,0.0399,0.0392,0.0391,0.0391,0.0398,0.041,0.0416,0.039,0.0397,0.0384,0.0395,0.0398,0.0402,0.0407,0.0374,0.0356,0.0378,0.0398,0.0437,0.0399,0.044,0.0404,0.0414,0.0418,0.0406,0.0399,0.0409,0.0415,0.0406,0.0422,0.0399,0.0404,0.0412,0.0396,0.0409,0.0389,0.0373,0.0374,0.037,0.0413,0.0391,0.0375,0.0382,0.0361,0.0418,0.0397,0.0404,0.041,0.0381,0.0389,0.039,0.0384,0.0404,0.0381,0.038,0.0372,0.0399,0.0405,0.0399,0.0401,0.0393,0.0391,0.0403,0.0397,0.04,0.0394,0.0395,0.0395,0.0405
