week,plasmids,treatment,replicate,b,o,p,b0,o0,p0,bTet,oTet,pTet,bE,oE,pE,bG,oG,pG,bP,oP,pP,bEr,oEr,pEr,bGr,oGr,pGr,bPr,oPr,pPr
1,y,n,1,4,146,14,2,107,8,2,38,6,1,14,5,1,20,1,0,5,0,0.25,0.095890411,0.357142857,0.25,0.136986301,0.071428571,0,0.034246575,0
1,y,n,2,1,129,9,1,107,4,1,22,4,0,5,1,0,13,1,0,4,3,0,0.03875969,0.111111111,0,0.100775194,0.111111111,0,0.031007752,0.333333333
1,y,n,3,3,223,91,0,169,73,2,50,18,1,9,2,1,39,9,1,6,7,0.333333333,0.040358744,0.021978022,0.333333333,0.174887892,0.098901099,0.333333333,0.02690583,0.076923077
1,y,n,4,2,135,13,1,100,9,1,29,4,0,8,0,1,18,3,0,9,1,0,0.059259259,0,0.5,0.133333333,0.230769231,0,0.066666667,0.076923077
1,y,n,5,0,59,9,0,41,7,0,16,3,0,10,2,0,6,0,0,2,0,0,0.169491525,0.222222222,0,0.101694915,0,0,0.033898305,0
1,y,n,6,3,141,32,1,107,11,2,31,21,1,7,13,1,20,3,0,7,5,0.333333333,0.04964539,0.40625,0.333333333,0.141843972,0.09375,0,0.04964539,0.15625
1,y,n,7,4,120,27,0,84,23,0,33,10,4,2,0,0,29,2,0,5,2,1,0.016666667,0,0,0.241666667,0.074074074,0,0.041666667,0.074074074
1,y,n,8,1,78,38,0,51,28,0,26,9,0,3,1,0,18,3,1,6,6,0,0.038461538,0.026315789,0,0.230769231,0.078947368,1,0.076923077,0.157894737
1,y,n,9,2,139,50,0,93,36,0,53,12,0,12,6,0,30,2,2,4,6,0,0.086330935,0.12,0,0.215827338,0.04,1,0.028776978,0.12
1,y,n,10,2,96,46,1,61,30,1,34,14,0,7,3,0,23,5,1,5,8,0,0.072916667,0.065217391,0,0.239583333,0.108695652,0.5,0.052083333,0.173913043
1,y,w,1,1,75,36,0,7,5,0,67,29,0,17,8,0,36,12,1,15,11,0,0.226666667,0.222222222,0,0.48,0.333333333,1,0.2,0.305555556
1,y,w,2,8,103,52,0,0,0,NA,NA,NA,3,23,20,3,68,20,2,24,13,0.375,0.223300971,0.384615385,0.375,0.660194175,0.384615385,0.25,0.233009709,0.25
1,y,w,4,5,76,61,0,0,0,1,67,61,0,17,22,2,57,36,3,26,12,0,0.223684211,0.360655738,0.4,0.75,0.590163934,0.6,0.342105263,0.196721311
1,y,w,5,3,100,37,0,0,2,0,85,35,3,25,12,0,69,14,0,23,9,1,0.25,0.324324324,0,0.69,0.378378378,0,0.23,0.243243243
1,y,w,6,4,114,35,0,0,4,3,104,31,2,21,15,1,77,11,1,22,5,0.5,0.184210526,0.428571429,0.25,0.675438596,0.314285714,0.25,0.192982456,0.142857143
1,y,w,7,4,509,35,0,0,0,4,360,36,2,79,14,0,360,16,NA,NA,NA,0.5,0.155206287,0.4,0,0.707269155,0.457142857,NA,NA,NA
1,y,w,8,10,129,35,6,0,0,4,109,39,1,18,8,1,82,23,2,30,8,0.1,0.139534884,0.228571429,0.1,0.635658915,0.657142857,0.2,0.23255814,0.228571429
1,y,w,9,4,169,64,2,0,5,6,135,73,0,39,25,2,100,23,0,45,11,0,0.230769231,0.390625,0.5,0.591715976,0.359375,0,0.266272189,0.171875
1,y,s,1,4,104,14,2,0,2,3,94,11,1,53,3,1,45,5,0,13,4,0.25,0.509615385,0.214285714,0.25,0.432692308,0.357142857,0,0.125,0.285714286
1,y,s,2,0,75,4,0,3,0,0,71,3,0,12,1,0,43,1,0,17,2,0,0.16,0.25,0,0.573333333,0.25,0,0.226666667,0.5
1,y,s,3,4,86,30,0,0,4,2,74,25,2,25,6,1,54,14,1,16,6,0.5,0.290697674,0.2,0.25,0.627906977,0.466666667,0.25,0.186046512,0.2
1,y,s,4,1,55,4,1,0,0,0,56,4,0,16,1,0,35,1,0,12,2,0,0.290909091,0.25,0,0.636363636,0.25,0,0.218181818,0.5
1,y,s,5,8,74,6,0,2,2,5,70,6,0,10,4,5,45,0,3,17,0,0,0.135135135,0.666666667,0.625,0.608108108,0,0.375,0.22972973,0
1,y,s,6,2,54,26,0,0,2,1,62,24,0,11,5,1,44,10,1,14,9,0,0.203703704,0.192307692,0.5,0.814814815,0.384615385,0.5,0.259259259,0.346153846
1,y,s,7,4,142,2,2,5,0,4,137,2,0,16,0,2,106,2,0,15,1,0,0.112676056,0,0.5,0.746478873,1,0,0.105633803,0.5
1,y,s,8,8,66,6,0,0,3,2,72,6,3,23,3,2,40,0,3,8,0,0.375,0.348484848,0.5,0.25,0.606060606,0,0.375,0.121212121,0
1,y,s,9,6,103,9,0,0,0,4,103,9,1,18,4,3,73,4,2,14,1,0.166666667,0.174757282,0.444444444,0.5,0.708737864,0.444444444,0.333333333,0.13592233,0.111111111
1,y,s,10,3,77,3,1,4,1,1,72,2,1,14,1,1,50,0,0,9,1,0.333333333,0.181818182,0.333333333,0.333333333,0.649350649,0,0,0.116883117,0.333333333
6,y,n,1,31,139,17,31,131,0,0,7,17,0,0,17,0,7,0,0,1,0,0,0,1,0,0.050359712,0,0,0.007194245,0
6,y,n,2,4,139,10,3,121,0,1,17,10,1,0,10,0,17,0,0,1,0,0.25,0,1,0,0.122302158,0,0,0.007194245,0
6,y,n,3,15,62,9,14,49,0,0,14,9,0,0,9,0,13,0,1,0,0,0,0,1,0,0.209677419,0,0.066666667,0,0
6,y,n,4,2,108,14,1,82,0,NA,NA,NA,0,0,14,0,25,0,1,1,0,0,0,1,0,0.231481481,0,0.5,0.009259259,0
6,y,n,5,7,151,11,4,137,1,3,13,10,1,1,10,0,13,0,2,0,0,0.142857143,0.006622517,0.909090909,0,0.086092715,0,0.285714286,0,0
6,y,n,6,4,73,6,0,67,0,4,6,6,0,0,6,2,6,0,2,0,0,0,0,1,0.5,0.082191781,0,0.5,0,0
6,y,n,7,3,79,1,3,60,0,0,19,1,0,1,1,0,18,0,0,0,0,0,0.012658228,1,0,0.227848101,0,0,0,0
6,y,n,9,3,80,0,3,66,0,1,13,0,0,6,0,0,7,0,0,1,0,0,0.075,0,0,0.0875,0,0,0.0125,0
6,y,n,10,2,68,1,2,63,0,0,5,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0.073529412,0,0,0,0
6,y,s,1,11,306,90,0,3,0,NA,NA,NA,10,0,90,0,300,0,1,3,0,0.909090909,0,1,0,0.980392157,0,0.090909091,0.009803922,0
6,y,s,3,5,163,56,2,0,0,3,126,56,3,0,56,0,160,0,0,3,0,0.6,0,1,0,0.981595092,0,0,0.018404908,0
6,y,s,4,6,109,17,4,3,0,1,106,17,1,0,17,1,106,0,0,0,0,0.166666667,0,1,0.166666667,0.972477064,0,0,0,0
6,y,s,9,1,59,12,0,1,0,1,41,6,0,3,12,1,55,0,0,0,0,0,0.050847458,1,1,0.93220339,0,0,0,0
6,y,s,10,4,45,7,0,0,0,0,0,0,0,1,7,4,44,0,0,0,0,0,0.022222222,1,1,0.977777778,0,0,0,0
6,y,w,1,6,110,6,5,0,0,3,99,6,0,0,6,1,110,0,0,0,0,0,0,1,0.166666667,1,0,0,0,0
6,y,w,2,37,131,37,6,0,1,3,131,35,3,0,35,1,131,1,27,0,0,0.081081081,0,0.945945946,0.027027027,1,0.027027027,0.72972973,0,0
6,y,w,4,4,187,55,1,43,0,NA,NA,NA,1,0,55,0,144,0,2,0,0,0.25,0,1,0,0.770053476,0,0.5,0,0
6,y,w,5,15,126,20,9,7,0,3,112,18,3,0,20,0,119,0,3,0,0,0.2,0,1,0,0.944444444,0,0.2,0,0
6,y,w,6,3,65,4,0,0,0,2,64,4,0,0,4,3,63,0,0,2,0,0,0,1,1,0.969230769,0,0,0.030769231,0
6,y,w,7,36,51,0,28,0,0,8,51,0,1,3,0,0,48,0,7,0,0,0.027777778,0.058823529,0,0,0.941176471,0,0.194444444,0,0
6,y,w,9,6,102,1,2,0,0,4,98,1,0,4,1,4,98,0,0,0,0,0,0.039215686,1,0.666666667,0.960784314,0,0,0,0
