week,selection,plasmids,treatment,replicate,gloop,b,o,p,g,bTet,oTet,pTet,gTet,bE,oE,pE,gE,bG,oG,pG,gG,bP,oP,pP,pG,adjusted,conn,w.conn,l.p.s,nestedness,w.nestedness,NODF,w.NODF,generalityHL
1,n,0,n0,n01,0,1750,3820,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n010,0,1890,3640,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n02,0,1170,1760,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n03,0,1760,2700,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n04,0,1840,2620,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n05,0,1010,1890,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n06,0,1310,3230,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n07,0,1250,3130,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n08,0,1520,1130,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,0,n0,n09,0,1320,3180,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n11,0,90,1640,320,0,40,260,100,0,60,0,47,0,13,221,27,0,0,60,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n110,0,220,10820,920,0,40,440,90,0,30,110,0,0,10,210,30,0,20,90,50,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n12,0,240,1930,340,0,320,490,530,0,92,0,87,0,28,339,47,0,110,110,10,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n13,1,190,2510,650,0,60,560,340,0,70,0,59,20,14,340,94,0,10,70,15,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n14,0,140,2520,220,0,120,380,160,0,120,0,30,0,31,357,50,0,40,70,30,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n15,0,130,1820,150,0,60,630,50,0,330,1,30,0,13,215,10,0,20,50,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n16,0,70,2140,730,0,90,590,170,0,0,20,0,0,10,360,50,0,20,140,10,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n17,0,80,2750,440,0,32,496,106,0,0,30,100,40,30,780,80,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n18,1,60,3580,940,970,30,550,270,570,30,10,0,0,0,450,110,0,10,90,60,570,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n18,0,60,3580,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n19,0,80,2480,470,0,40,550,200,0,10,80,0,0,20,370,210,0,10,70,30,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,n,1,n1,n19,0,80,2480,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s01,0,3220,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s010,0,9410,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s02,0,5070,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s03,0,250,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s04,0,540,520,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s05,0,6730,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s06,0,4270,160,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
1,s,0,s0,s07,0,6760,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"was diluted e and then times10, check for gfp counts ",,,,,,,,
